OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
134705168,269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,YES,NO,,,NO,8,11,397472.19246231,147474.87366525,
134705169,270,Montgomery & East Ln,32013,38.983525,-77.095367,YES,NO,,,NO,5,6,391737.18561936,146181.63464028,
134705170,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,8,11,392546.66110808,143765.03951761,
134705171,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,1,14,397234.815588,139245.17181709,
134705172,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,14,5,399791.74179325,134131.220022,
134705173,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,1,18,397773.74796634,139168.73911509,
134705174,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,7,8,400480.02354886,134322.94186107,
134705175,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,8,7,386424.52768958,161344.27440776,
134705176,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,12,3,383736.53425668,159054.82333901,
134705177,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,YES,NO,,,NO,10,5,387094.43314867,157305.3907351,
134705178,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,YES,NO,,,NO,4,11,386388.43917458,161729.3311025,
134705179,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,YES,NO,,,NO,8,7,397457.28862708,146924.15777926,
134705180,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,YES,NO,,,NO,11,4,386847.10375582,159974.10023058,
134705181,282,47th & Elm St,32021,38.982456,-77.091991,YES,NO,,,NO,10,4,392029.57027544,146062.66507911,
134705182,283,Garland Ave & Walden Rd,32022,39.000578,-77.00149,YES,NO,,,NO,3,12,399870.93387652,148070.37306511,
134705183,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,YES,NO,,,NO,12,9,386241.41121024,158637.64923132,
134705184,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,YES,NO,,,NO,4,7,397933.4145005,146865.73881136,
134705185,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,YES,NO,,,NO,6,9,399028.62364911,145231.02061742,
134705186,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,YES,NO,,,NO,3,12,399439.20704805,145556.57211519,
134705187,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,YES,NO,,,NO,6,9,391327.8386053,147164.51103503,
134705188,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,YES,NO,,,NO,4,6,391315.93174708,146971.81066443,
134705189,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,YES,NO,,,NO,5,6,391803.8534602,145467.55036065,
134705190,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,YES,NO,,,NO,7,8,382672.5405711,159359.37466242,
134705191,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,YES,NO,,,NO,7,7,388498.44225283,158461.08173,
134705192,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,7,8,387766.64569552,156489.26883494,
134705193,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,14,5,384681.99807835,159367.76528288,
134705194,295,Ripley & Bonifant St,32034,38.992679,-77.029457,YES,NO,,,NO,8,7,397448.10582111,147193.91499269,
134705195,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,5,6,397266.61108519,147938.74232081,
134705196,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,9,6,397781.68474404,147677.15218341,
134705197,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,9,9,385169.33354228,160751.83427443,
134705198,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,15,0,384201.31311065,160268.14020717,
134705199,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,5,13,395660.25194765,139524.3986898,
134705200,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,YES,NO,,,NO,0,19,398678.93496158,137689.1287794,
134705201,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,4,7,405910.67420774,136744.99164114,
134705202,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,8,7,405802.5614741,137847.99932996,
134705203,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,9,8,397376.94021436,134511.63048068,
134705204,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,YES,NO,,,NO,4,6,392256.73815346,133995.68730513,
134705205,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,YES,NO,,,NO,6,5,395811.77300147,133183.21065875,
134705206,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,YES,NO,,,NO,6,12,390502.08229336,147971.28240078,
134705207,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,YES,NO,,,NO,13,6,392315.96955553,143697.21146898,
134705208,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,YES,NO,,,NO,11,8,399227.02220444,136872.3698297,
134705209,311,31st & Woodrow St S,31072,38.837666,-77.09482,YES,NO,,,NO,7,4,391767.76100852,129990.04042841,
134705210,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,YES,NO,,,NO,9,5,392875.30889503,133935.6067688,
134705211,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,YES,NO,,,NO,4,11,391704.07999902,133514.80715931,
134705212,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,YES,NO,,,NO,7,8,394621.86255124,141475.56998399,
134705213,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,YES,NO,,,NO,9,6,383008.38939989,159468.76971438,
134705214,316,Shady Grove Hospital,32042,39.097636,-77.196636,YES,NO,,,NO,8,11,382990.30463098,158863.23308023,
134705215,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,YES,NO,,,NO,6,5,397930.17345122,147722.84809045,
134705216,318,Rockville Metro East,32044,39.085394,-77.145803,YES,NO,,,NO,9,4,387385.36031083,157495.97307419,
134705217,319,1st & H St NW,31638,38.900358,-77.012108,YES,NO,,,NO,9,5,398949.71056005,136945.11200625,
134705218,320,Fort Totten Metro,31515,38.952369,-77.002721,YES,NO,,,NO,9,10,399764.14322203,142718.71185822,
134705219,321,Takoma Metro,31408,38.975219,-77.016855,YES,NO,,,NO,12,7,398539.47386044,145255.40691126,
134705220,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,YES,NO,,,NO,7,12,400357.62798091,139201.18164889,
134705221,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,YES,NO,,,NO,9,2,393392.99961931,133186.07966769,
134705222,324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,YES,NO,,,NO,11,4,392439.72224526,130238.69248395,
134705223,325,Shady Grove Metro West,32045,39.119765,-77.166093,YES,NO,,,NO,1,18,385636.84639948,161314.58449914,
134705224,326,River Rd & Landy Ln,32046,38.964992,-77.103381,YES,NO,,,NO,8,11,391040.50480235,144125.05115003,
134705225,327,Rockville Metro West,32047,39.084379,-77.146866,YES,NO,,,NO,3,16,387293.21007282,157383.44319069,
134705226,328,Bethesda Metro,32048,38.984691,-77.094537,YES,NO,,,NO,7,5,391809.23272994,146310.99720784,
134705227,329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,YES,NO,,,NO,6,12,393814.20236548,135788.75739915,
134705228,330,33rd & Water St NW,31314,38.903295,-77.065884,YES,NO,,,NO,12,6,394285.23169449,137273.13521197,
134705229,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,YES,NO,,,NO,9,6,394713.17102609,126292.34142583,
134705230,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,YES,NO,,,NO,2,13,392045.89232185,136347.70672975,
134705231,333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,YES,NO,,,NO,2,9,390931.12467668,133518.31847561,
134705232,334,MLK Library/9th & G St NW,31274,38.898404,-77.024281,YES,NO,,,NO,15,7,397893.72512203,136728.4128293,
134705233,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,YES,NO,,,NO,3,12,392986.43793208,136643.32022975,
134705234,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,YES,NO,,,NO,10,9,395568.88566438,137101.36038208,
134705235,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,YES,NO,,,NO,8,6,394010.54617838,125930.1835293,
134705236,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,YES,NO,,,NO,6,5,395875.6679074,128220.0552696,
134705237,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,YES,NO,,,NO,11,8,394478.86466732,126103.67942378,
134705238,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,YES,NO,,,NO,3,8,394996.30487652,128033.40446264,
134705239,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,YES,NO,,,NO,8,7,394916.65642773,128686.84003154,
134705240,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,YES,NO,,,NO,8,7,395389.14299363,128129.51994126,
134705241,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,YES,NO,,,NO,11,4,394806.02748043,129478.05665833,
134705242,344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,YES,NO,,,NO,15,6,392643.06650429,135866.57615407,
134705243,345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,YES,NO,,,NO,7,8,399996.96765659,146534.54829125,
134705244,346,6th & S Ball St,31090,38.864702,-77.048672,YES,NO,,,NO,11,4,395775.91368285,132988.07874506,
134705245,347,McKinley St & Connecticut Ave NW,31315,38.96497,-77.075946,YES,NO,,,NO,8,11,393418.1513114,144120.27361911,
134705246,348,15th & L St NW,31276,38.90366,-77.034846,YES,NO,,,NO,13,10,396977.47844927,137312.16782257,
134705247,349,17th & G St NW,31277,38.89841,-77.039624,YES,NO,,,NO,18,13,396562.78460078,136729.54472867,
